longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
23.5890020000;58.1155370000;0.27602;5.11283;21.02978;27.00000;0.99098;1584.25195;0.07559;3.58663;Invalid pos.;Invalid pos.
23.5933810000;58.1147600000;0.23025;4.93075;100.00000;26.10000;3.10546;1577.55908;0.06299;4.60677;Invalid pos.;Invalid pos.
23.5977600000;58.1139830000;0.19207;4.58582;10.55898;25.50000;0.71504;1590.94495;0.06929;4.06483;Invalid pos.;Invalid pos.
23.6021380000;58.1132050000;0.19207;4.58582;23.44654;26.40000;0.67719;1584.25195;0.06929;3.29952;Invalid pos.;Invalid pos.
23.6065170000;58.1124280000;0.31623;5.30163;30.22143;25.50000;0.99098;1577.55908;0.05669;4.23799;Invalid pos.;Invalid pos.
23.6108950000;58.1116500000;0.20098;4.75516;18.86212;25.80000;1.01830;1584.25195;0.06299;4.41854;Invalid pos.;Invalid pos.
23.6152740000;58.1108730000;0.20098;4.58582;16.91790;26.10000;0.57523;1590.94495;0.06929;3.73943;Invalid pos.;Invalid pos.
23.6196520000;58.1100950000;0.22005;4.93075;16.91790;27.00000;1.04637;1590.94495;0.06929;4.60677;Invalid pos.;Invalid pos.
23.6240300000;58.1093170000;0.20098;4.75516;19.55864;27.00000;0.99098;1584.25195;0.06299;3.89873;Invalid pos.;Invalid pos.
23.6284080000;58.1085380000;0.20098;4.75516;9.47061;27.00000;0.84178;1590.94495;0.06929;3.89873;Invalid pos.;Invalid pos.
23.6327860000;58.1077600000;0.21030;4.75516;28.10728;28.20000;0.96439;1584.25195;0.06929;4.23799;Invalid pos.;Invalid pos.
23.6371630000;58.1069810000;0.21030;4.75516;12.20715;28.80000;0.65902;1590.94495;0.07559;3.89873;Invalid pos.;Invalid pos.
23.6415410000;58.1062030000;0.27602;5.11283;31.33740;28.50000;1.41126;1577.55908;0.06299;4.80303;Invalid pos.;Invalid pos.
23.6459180000;58.1054240000;0.23025;4.75516;16.91790;28.80000;0.88883;1584.25195;0.07559;3.58663;Invalid pos.;Invalid pos.
23.6502950000;58.1046450000;0.23025;4.75516;30.22143;29.10000;1.07522;1584.25195;0.06929;3.03538;Invalid pos.;Invalid pos.
23.6546720000;58.1038660000;0.22005;4.75516;27.10634;27.30000;0.96439;1577.55908;0.05669;5.00765;Invalid pos.;Invalid pos.
23.6590490000;58.1030860000;0.22005;4.75516;15.73441;27.60000;1.04637;1570.86621;0.05039;4.80303;Invalid pos.;Invalid pos.
23.6634260000;58.1023070000;0.22005;4.75516;28.10728;27.90000;1.85232;1570.86621;0.05669;4.60677;Invalid pos.;Invalid pos.
23.6678030000;58.1015270000;0.22005;4.75516;27.10634;27.60000;0.79721;1584.25195;0.06929;3.89873;Invalid pos.;Invalid pos.
23.6721790000;58.1007470000;0.22005;4.75516;21.02978;27.90000;1.07522;1590.94495;0.07559;4.41854;Invalid pos.;Invalid pos.
23.6765560000;58.0999670000;0.21030;4.75516;18.86212;28.50000;0.91333;1597.63782;0.08189;4.06483;Invalid pos.;Invalid pos.
23.6809320000;58.0991870000;0.22005;4.75516;53.98629;27.90000;1.26579;1590.94495;0.08819;3.58663;Invalid pos.;Invalid pos.
23.6853080000;58.0984070000;0.21030;4.75516;16.31543;27.90000;0.81919;1617.71655;0.08819;4.06483;Invalid pos.;Invalid pos.
23.6896840000;58.0976260000;0.23025;4.75516;21.80633;27.90000;0.93851;1617.71655;0.08819;3.29952;Invalid pos.;Invalid pos.
23.6940600000;58.0968450000;0.25210;4.75516;69.58565;28.20000;2.86215;1584.25195;0.08189;3.73943;Invalid pos.;Invalid pos.
23.6984360000;58.0960650000;0.20098;4.75516;29.14519;28.50000;1.26579;1584.25195;0.07559;4.23799;Invalid pos.;Invalid pos.
23.7028120000;58.0952840000;0.21030;4.75516;15.73441;28.50000;0.45034;1604.33069;0.06299;3.58663;0.03592;0.01122
23.7071870000;58.0945020000;0.23025;4.93075;53.98629;28.20000;1.37339;1577.55908;0.05669;4.60677;Invalid pos.;Invalid pos.
23.7115620000;58.0937210000;0.19207;4.75516;33.69450;28.20000;2.36601;1577.55908;0.05669;4.41854;Invalid pos.;Invalid pos.
23.7159380000;58.0929400000;0.28882;5.30163;18.19041;27.90000;0.88883;1584.25195;0.06299;5.22098;Invalid pos.;Invalid pos.
23.7203130000;58.0921580000;0.33089;5.49740;100.00000;28.50000;5.64896;1577.55908;0.06299;5.22098;Invalid pos.;Invalid pos.
23.7246880000;58.0913760000;0.19207;4.75516;19.55864;28.20000;0.54478;1604.33069;0.06929;4.60677;Invalid pos.;Invalid pos.
23.7290630000;58.0905940000;0.22005;4.75516;22.61157;28.50000;1.01830;1577.55908;0.05669;4.23799;Invalid pos.;Invalid pos.
23.7334370000;58.0898120000;0.23025;5.11283;17.54262;27.90000;0.60739;1604.33069;0.06299;5.44340;Invalid pos.;Invalid pos.
23.7378120000;58.0890300000;0.19207;4.75516;16.91790;27.90000;1.41126;1590.94495;0.07559;4.41854;Invalid pos.;Invalid pos.
