longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
9.6166180000;58.8270210000;0.27602;2.66193;7.08588;11.10000;0.39309;1390.15747;0.05669;2.17404;Invalid pos.;Invalid pos.
9.6171960000;58.8295840000;0.31623;3.07744;6.12917;11.10000;0.33390;1403.54333;0.05039;2.36322;Invalid pos.;Invalid pos.
9.6177730000;58.8321470000;0.31623;3.30891;7.90019;12.00000;0.40392;1329.92126;0.05669;2.36322;Invalid pos.;Invalid pos.
9.6183510000;58.8347100000;0.30221;3.30891;8.19192;11.70000;0.60739;1343.30713;0.06299;2.36322;Invalid pos.;Invalid pos.
9.6189290000;58.8372730000;0.31623;3.30891;9.47061;12.30000;0.51594;1343.30713;0.05669;2.26665;Invalid pos.;Invalid pos.
9.6195070000;58.8398360000;0.33089;3.68917;11.77243;12.30000;0.64134;1336.61414;0.06299;2.08520;Invalid pos.;Invalid pos.
9.6200850000;58.8424000000;0.33089;3.68917;9.82033;12.60000;0.60739;1350.00000;0.06299;2.26665;Invalid pos.;Invalid pos.
9.6206630000;58.8449630000;0.31623;3.68917;12.20715;12.90000;0.65902;1356.69287;0.05669;2.36322;Invalid pos.;Invalid pos.
9.6212410000;58.8475260000;0.30221;3.55780;7.90019;13.80000;0.53016;1430.31494;0.05669;2.36322;Invalid pos.;Invalid pos.
9.6218190000;58.8500880000;0.27602;3.68917;9.13335;14.10000;0.55980;1443.70081;0.05669;2.46389;Invalid pos.;Invalid pos.
9.6329930000;58.8519960000;0.25210;3.43110;9.47061;15.30000;0.57523;1503.93701;0.05039;2.36322;Invalid pos.;Invalid pos.
9.6335720000;58.8545590000;0.24093;3.19107;7.61886;15.30000;0.46276;1503.93701;0.05039;2.46389;Invalid pos.;Invalid pos.
9.6341510000;58.8571220000;0.23025;3.30891;8.49442;15.30000;0.54478;1510.62988;0.05039;2.26665;Invalid pos.;Invalid pos.
9.6347300000;58.8596840000;0.23025;3.43110;13.61000;15.00000;0.79721;1483.85828;0.06299;2.26665;Invalid pos.;Invalid pos.
9.6353090000;58.8622470000;0.26379;3.07744;9.47061;14.70000;0.73475;1483.85828;0.05669;2.08520;Invalid pos.;Invalid pos.
9.6358870000;58.8648090000;0.28882;3.68917;11.77243;13.50000;0.93851;1410.23621;0.06299;2.36322;Invalid pos.;Invalid pos.
